Date|Open|High|Low|Close|Adj Close|Volume|Stock Return
2018-12-12| 101.66 | 102.90 | 100.06 | 101.02 | 98.746193 | 22,621,500 | 0.006455 
2018-12-13| 101.55 | 101.97 | 100.67 | 101.12 | 98.843941 | 17,250,900 | 0.000989 
2018-12-14| 99.99 | 101.94 | 99.86 | 100.29 | 98.032631 | 19,879,500 | (0.008242)
2018-12-17| 99.77 | 100.56 | 98.44 | 99.01 | 96.781433 | 25,113,500 | (0.012845)
2018-12-18| 99.42 | 100.89 | 98.12 | 98.54 | 96.322014 | 20,837,200 | (0.004758)
2018-12-19| 98.41 | 100.58 | 96.60 | 97.29 | 95.100151 | 28,767,900 | (0.012766)
2018-12-20| 96.61 | 98.28 | 95.69 | 96.45 | 94.279053 | 31,825,200 | (0.008672)
2018-12-21| 96.68 | 98.43 | 93.69 | 94.17 | 92.050377 | 41,313,900 | (0.023923)
2018-12-24| 92.89 | 94.22 | 92.14 | 92.14 | 90.066071 | 17,009,300 | (0.021792)
2018-12-26| 92.69 | 95.96 | 91.11 | 95.96 | 93.800095 | 22,542,900 | 0.040622 
2018-12-27| 94.82 | 97.15 | 93.55 | 97.04 | 94.855774 | 20,304,700 | 0.011192 
2018-12-28| 97.95 | 98.32 | 96.44 | 96.83 | 94.650513 | 17,963,300 | (0.002166)
